,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene24755,284.8374773,0.067827222,0.128139378,0.529323793,0.596580853,0.897678719
gene14048,546.5228231,0.052124662,0.098589154,0.528705846,0.597009521,0.897726351
gene37986,71.98647307,0.06965654,0.131802255,0.52849278,0.597157357,0.897726351
gene24993,66.91958259,-0.068289973,0.129352052,-0.527938848,0.59754178,0.897726351
gene39212,77.12512417,0.069408365,0.131535682,0.527677085,0.59772348,0.897726351
gene36362,671.7147595,0.044903791,0.085110778,0.527592302,0.597782337,0.897726351
gene24878,149.0619247,-0.059390269,0.112791458,-0.526549346,0.598506576,0.898462336
gene41321,839.9339729,-0.042770277,0.081516423,-0.524682942,0.599803617,0.899904643
gene24092,101.0315332,0.065717281,0.125297029,0.524491934,0.599936429,0.899904643
gene26382,127.4843766,0.066754455,0.127440415,0.523809142,0.600411294,0.900265001
gene18191,156.7122841,0.065681749,0.125570292,0.52306758,0.600927225,0.900590071
gene31378,135.4872762,0.066460838,0.127119222,0.522822879,0.601097517,0.900590071
gene34745,83.53915379,0.059808486,0.11461933,0.521801046,0.601808861,0.901303904
gene32853,70.85604372,0.068619471,0.131804624,0.52061505,0.602634963,0.901471383
gene28695,168.586442,-0.061967605,0.119052899,-0.520504794,0.602711787,0.901471383
gene25160,74.16874679,0.063531784,0.122072704,0.520442179,0.602755418,0.901471383
gene25414,70.73018296,0.066306367,0.127504542,0.520031412,0.603041682,0.901471383
gene16879,79.54093556,-0.066904834,0.12867444,-0.519954343,0.603095398,0.901471383
gene13328,1281.825109,-0.060497407,0.11657746,-0.518946003,0.603798397,0.901706756
gene17626,250.7823427,0.068841948,0.132671439,0.518890491,0.603837109,0.901706756
gene11134,236.521288,0.055580842,0.107316012,0.517917512,0.604515823,0.901706756
gene28576,159.0153317,-0.060659659,0.11714616,-0.517811753,0.604589617,0.901706756
gene39712,263.944349,0.047564075,0.091862895,0.517772434,0.604617053,0.901706756
gene17420,190.2722247,0.046185332,0.089337331,0.516976849,0.60517232,0.901706756
gene20834,923.7361193,0.056903353,0.110114029,0.516767512,0.605318461,0.901706756
gene31994,140.5078581,-0.065817768,0.127388621,-0.516669126,0.605387152,0.901706756
gene27882,1222.483035,-0.054118884,0.104786704,-0.516467092,0.605528217,0.901706756
gene2203,315.3247487,0.064047337,0.124188131,0.515728328,0.606044166,0.901706756
gene1020,172.0105756,0.055626973,0.107872354,0.515674041,0.606082088,0.901706756
gene27877,105.4604418,0.064218745,0.124680177,0.515067807,0.606505638,0.901706756
gene1988,118.5136669,-0.06206706,0.120535514,-0.514927572,0.606603633,0.901706756
gene34133,235.6420194,-0.051394303,0.099845291,-0.514739373,0.606735156,0.901706756
gene19345,86.02940151,0.06782421,0.131945207,0.514033149,0.607228814,0.901706756
gene26425,104.2011999,-0.062429146,0.121449929,-0.514031969,0.60722964,0.901706756
gene12833,159.5873507,-0.057165601,0.111322485,-0.513513517,0.607592158,0.901706756
gene12247,490.1827818,-0.054973952,0.107085848,-0.513363375,0.60769716,0.901706756
gene4059,761.4387804,0.047333089,0.092207252,0.513333687,0.607717923,0.901706756
gene11314,66.24170331,0.068002551,0.132609112,0.512804511,0.608088074,0.901791709
gene10010,166.5532727,-0.058776616,0.114668207,-0.512579882,0.608245229,0.901791709
gene13417,204.3098926,0.063535477,0.124171863,0.511673708,0.60887939,0.902383244
gene1516,102.2191364,0.064235791,0.125754026,0.510805041,0.609487579,0.902695718
gene36792,448.2664159,-0.037775643,0.073968283,-0.510700555,0.609560752,0.902695718
gene32954,129.530612,-0.064518105,0.126637327,-0.509471465,0.610421794,0.903458872
gene32886,657.8201475,0.045619079,0.089623228,0.509009545,0.610745534,0.903458872
gene10008,90.35970494,-0.062793581,0.123377022,-0.508956859,0.610782464,0.903458872
gene30940,85.01710858,0.064743254,0.127508865,0.507754927,0.611625223,0.903517825
gene2647,113.1675094,0.064037453,0.126161247,0.507584174,0.611744992,0.903517825
gene40020,93.63290234,-0.060642026,0.119494775,-0.50748684,0.611813268,0.903517825
gene23041,329.8041104,-0.051013379,0.100647118,-0.506853846,0.612257372,0.903517825
gene28738,181.6750744,0.060447396,0.119305735,0.506659602,0.612393681,0.903517825
gene30281,185.8965952,-0.053268716,0.105167358,-0.506513782,0.612496017,0.903517825
gene24870,76.13130269,0.06715484,0.132660284,0.50621662,0.612704589,0.903517825
gene31699,179.2382161,0.061050172,0.12062246,0.506126072,0.612768149,0.903517825
gene40955,593.5134487,0.043377433,0.085746657,0.505879001,0.612941594,0.903517825
gene19350,678.9143011,-0.048200772,0.095575455,-0.504321656,0.614035362,0.904782521
gene24406,140.6447616,0.056095949,0.111435317,0.503394709,0.614686791,0.904830418
gene13000,1038.917202,-0.03838157,0.076302317,-0.503019715,0.614950411,0.904830418
gene33217,110.80345,0.056939594,0.113204735,0.50297891,0.6149791,0.904830418
gene16242,412.3769389,-0.065417802,0.13007251,-0.502933345,0.615011136,0.904830418
gene3659,83.32256324,0.066724059,0.132782252,0.502507358,0.615310678,0.904924136
gene14693,72.57576619,-0.066280013,0.132032484,-0.501997771,0.615669089,0.905104327
gene26349,393.7161163,-0.043177397,0.086266416,-0.500512239,0.61671444,0.905619244
gene39630,201.5124906,0.059171715,0.118295543,0.500202404,0.616932566,0.905619244
gene34484,69.51988914,-0.066377196,0.132703684,-0.500191062,0.616940551,0.905619244
gene2897,357.0826269,-0.052261975,0.104491613,-0.500154735,0.616966128,0.905619244
gene18322,74.5176525,-0.063717893,0.127480821,-0.499823363,0.617199459,0.905619244
gene39490,215.0233098,-0.056347414,0.112891147,-0.499130498,0.617687453,0.905988822
gene12331,128.4946671,0.065202328,0.130754243,0.498663194,0.618016678,0.906125331
gene24462,66.61842868,0.066013542,0.132622912,0.497753675,0.618657671,0.906718672
gene18798,87.85538978,-0.057363431,0.115397965,-0.497092222,0.619124019,0.907055694
gene20993,72.71951011,0.065902173,0.132769891,0.49636384,0.619637732,0.907225749
gene26413,134.279083,0.065361363,0.132010035,0.495124205,0.620512449,0.907225749
gene40322,92.81172525,-0.058378036,0.117917049,-0.495077142,0.620545668,0.907225749
gene30251,297.6705881,0.054319893,0.109745697,0.494961481,0.620627311,0.907225749
gene18109,425.146055,-0.059192754,0.11961817,-0.494847514,0.620707762,0.907225749
gene34524,137.9307407,-0.062894049,0.127195931,-0.494465892,0.620977189,0.907225749
gene21659,117.6083851,0.057309073,0.116054936,0.493809868,0.621440464,0.907225749
gene26917,142.8628034,-0.0620476,0.125680117,-0.493694641,0.62152185,0.907225749
gene11136,116.1930544,-0.064230209,0.13043692,-0.492423532,0.622419967,0.907225749
gene23212,183.3329274,-0.058726504,0.119324283,-0.492158868,0.622607039,0.907225749
gene41121,349.0969378,0.04357781,0.088584851,0.491932991,0.622766715,0.907225749
gene18403,478.5917387,-0.048958654,0.099579081,-0.491656016,0.622962536,0.907225749
gene35149,194.0996892,0.054188268,0.110279717,0.491371125,0.623163983,0.907225749
gene39878,224.5952552,-0.059498987,0.121118589,-0.491245706,0.623252675,0.907225749
gene39836,163.7291636,0.058343878,0.118781502,0.491186567,0.623294499,0.907225749
gene31513,1361.860244,-0.037802971,0.076971506,-0.491129422,0.623334913,0.907225749
gene29353,92.78500181,-0.061781078,0.125833306,-0.490975562,0.623443732,0.907225749
gene40867,151.6401404,-0.053456532,0.109045197,-0.490223626,0.623975664,0.907225749
gene3566,94.18086437,-0.060415102,0.12332657,-0.489879044,0.624219493,0.907225749
gene40849,155.0203177,-0.055715673,0.11381851,-0.489513287,0.62447835,0.907225749
gene24818,139.2068612,-0.064334399,0.131459673,-0.48938505,0.624569118,0.907225749
gene11353,473.4151327,-0.04212267,0.086082515,-0.489328991,0.6246088,0.907225749
gene25005,82.66070141,0.062307643,0.127362734,0.489214079,0.624690143,0.907225749
gene33464,322.3665675,0.050084989,0.102527872,0.488501208,0.62519487,0.907225749
gene14334,70.23225079,0.06100745,0.124988297,0.488105295,0.625475261,0.907225749
gene39050,103.18269,0.061673265,0.126477083,0.487624035,0.625816168,0.907225749
gene40891,167.3154119,0.060899288,0.124896696,0.487597272,0.625835128,0.907225749
gene17000,99.79374005,-0.059549808,0.122306736,-0.486889028,0.626336975,0.907225749
gene3397,84.87088313,0.064462034,0.132517298,0.486442413,0.626653525,0.907225749
gene41105,187.8285017,-0.058440104,0.120213369,-0.486136476,0.626870407,0.907225749
gene39617,375.0651233,-0.045200698,0.093026378,-0.48589119,0.627044315,0.907225749
gene26066,77.42163692,0.060964145,0.125529455,0.485656095,0.627211018,0.907225749
gene36927,69.36172877,0.064013743,0.132028261,0.484848798,0.627783605,0.907225749
gene36497,111.0499121,0.057458387,0.118516368,0.484813941,0.627808333,0.907225749
gene25103,70.41939307,-0.06410401,0.132247138,-0.484728902,0.627868662,0.907225749
gene20244,163.3344979,-0.057020788,0.117654024,-0.484648005,0.627926055,0.907225749
gene13454,130.9324161,-0.063778062,0.131641073,-0.484484518,0.628042049,0.907225749
gene31418,205.5321404,0.060332251,0.124595008,0.484226873,0.628224867,0.907225749
gene32832,112.1073393,0.06156699,0.127359166,0.483412324,0.628802999,0.907719003
gene15404,584.7624608,0.047228302,0.09778874,0.482962576,0.629122309,0.907838398
gene13625,167.3547509,-0.04886519,0.10167415,-0.480605839,0.630796665,0.909754645
gene20027,80.40607883,0.060904591,0.126812433,0.480273023,0.631033268,0.909754645
gene33733,416.2756015,0.049312259,0.102714058,0.4800926,0.63116155,0.909754645
gene25589,276.6738614,0.0471822,0.098384997,0.479567028,0.631535296,0.909951533
gene30102,67.24145531,-0.063570274,0.132707732,-0.479024646,0.631921096,0.910026816
gene40421,155.6291803,-0.056197471,0.117364938,-0.478826745,0.632061888,0.910026816
gene14470,89.72573117,-0.061377765,0.128748095,-0.476727559,0.633556136,0.911240205
gene28332,111.6280579,-0.059372546,0.124564265,-0.476641882,0.633617154,0.911240205
gene15448,259.105037,-0.055197925,0.115826514,-0.476556901,0.63367768,0.911240205
gene38313,383.2304452,0.046372682,0.097396816,0.476121126,0.633988087,0.911240205
gene30830,127.842937,-0.053019284,0.111390868,-0.47597514,0.634092089,0.911240205
gene30085,206.1581166,0.047028388,0.09888142,0.475603892,0.634356602,0.911279028
gene37798,69.40253808,-0.062726899,0.132025038,-0.47511366,0.634705962,0.911439662
gene24583,116.2771608,0.05522648,0.116409955,0.474413722,0.63520491,0.911556118
gene37466,101.3952419,-0.058088896,0.122545133,-0.474020427,0.635485341,0.911556118
gene38467,151.0719636,0.057194991,0.120698687,0.473865895,0.635595541,0.911556118
gene27722,87.82902159,0.058685556,0.123896212,0.47366707,0.635737339,0.911556118
gene26470,82.71497149,0.061066586,0.129097496,0.473026879,0.636194003,0.911870149
gene24937,422.2693345,0.046698562,0.098793944,0.472686482,0.636436872,0.911877625
gene38823,255.4659699,0.048950549,0.103792684,0.471618493,0.637199125,0.91248749
gene2976,350.9129518,0.041850018,0.088791344,0.471329925,0.637405149,0.91248749
gene24992,73.11528176,-0.061326491,0.130207116,-0.470991857,0.63764655,0.91248749
gene2998,241.953634,-0.055634174,0.118180062,-0.470757702,0.637813773,0.91248749
gene41068,122.4608261,-0.057327493,0.121923051,-0.470194049,0.638216386,0.912723172
gene21096,391.727375,-0.045643309,0.097165197,-0.469749563,0.638533953,0.912837101
gene39252,103.8701522,-0.053945558,0.114943125,-0.469323914,0.638838124,0.912923394
gene26000,259.6517145,0.055619702,0.118674652,0.468673815,0.639302807,0.912923394
gene2682,83.80479908,0.061458346,0.13113452,0.468666417,0.639308095,0.912923394
gene31391,2001.530815,0.047019783,0.100471209,0.46799261,0.639789874,0.912953795
gene34995,336.8859385,0.05019817,0.10726767,0.467971106,0.639805253,0.912953795
gene19880,83.84678444,0.059999837,0.128458197,0.467076747,0.64044497,0.91335302
gene35665,211.0773827,-0.048854051,0.104631704,-0.466914418,0.64056111,0.91335302
gene32188,150.1155422,0.053667088,0.115096641,0.466278493,0.641016171,0.913528206
gene113,298.3610189,-0.051581632,0.11067183,-0.466077343,0.64116014,0.913528206
gene39880,107.9978467,-0.056337581,0.121063844,-0.465354302,0.641677754,0.913926334
gene16115,98.97763388,-0.060923241,0.131282247,-0.464063056,0.642602569,0.914198061
gene26651,402.5110875,-0.046318915,0.099944568,-0.463446048,0.643044678,0.914198061
gene14324,750.1048285,0.04230131,0.091276811,0.463439828,0.643049136,0.914198061
gene12267,96.10744901,0.055106568,0.119054683,0.462867704,0.643459198,0.914198061
gene26878,330.2794065,0.0565557,0.122288817,0.46247647,0.643739672,0.914198061
gene18564,79.61217236,-0.061325058,0.132624469,-0.462396255,0.643797184,0.914198061
gene17541,104.1141582,0.054792034,0.118561228,0.462141248,0.643980032,0.914198061
gene37271,89.89051527,0.060870337,0.131724911,0.462101939,0.64400822,0.914198061
gene24175,284.132212,-0.04273706,0.092485348,-0.462095462,0.644012864,0.914198061
gene20186,351.6315263,-0.052585022,0.114248887,-0.460267255,0.645324402,0.915330251
gene25892,89.29856855,-0.056933337,0.123768648,-0.45999805,0.64551762,0.915330251
gene22104,88.65030115,-0.056198051,0.12225674,-0.459672417,0.645751371,0.915330251
gene21453,186.6083359,-0.049178045,0.107018529,-0.459528318,0.645854821,0.915330251
gene24167,165.0588264,-0.053360578,0.116172577,-0.459321639,0.646003211,0.915330251
gene36872,102.8836143,0.056162619,0.122394396,0.458865938,0.646330441,0.915455851
gene18724,151.9613961,0.051129705,0.111552057,0.458348386,0.646702167,0.91564436
gene25502,124.0904013,0.053223801,0.116274226,0.457743754,0.647136549,0.915901181
gene10476,197.2469874,0.056022755,0.122472459,0.457431455,0.64736096,0.915901181
gene396,448.4279239,-0.035017775,0.076889745,-0.455428417,0.648801055,0.917273306
gene14175,174.5091494,0.052515421,0.115312697,0.45541751,0.648808901,0.917273306
gene12448,346.723065,-0.038394413,0.084449816,-0.454641765,0.649366983,0.917724167
gene37641,88.37486884,0.059334228,0.130760619,0.453762216,0.649999982,0.918280534
gene14042,580.4925698,0.036793841,0.081249654,0.452849199,0.650657334,0.918707626
gene10741,71.24421333,0.059258275,0.130954767,0.452509493,0.650901984,0.918707626
gene11617,363.067943,0.041684205,0.092220751,0.452004616,0.651265657,0.918707626
gene21747,343.3139807,0.040707227,0.090117558,0.451712502,0.651476111,0.918707626
gene31164,82.09317039,-0.056720568,0.125576862,-0.451680087,0.651499465,0.918707626
gene15045,117.3459267,0.055209755,0.122360245,0.451206638,0.651840626,0.918851022
gene33072,580.2679651,-0.031960046,0.070928587,-0.45059471,0.65228168,0.918996336
gene27516,425.7118633,-0.053412257,0.118588743,-0.450399049,0.652422731,0.918996336
gene25543,127.2113039,0.055054117,0.122508848,0.449388904,0.653151134,0.919190052
gene36467,74.92215179,-0.056351783,0.125479592,-0.44909122,0.653365854,0.919190052
gene24176,210.4905585,0.051698072,0.115224078,0.448674207,0.653666694,0.919190052
gene37863,75.05311705,0.057562259,0.128382688,0.448364649,0.65389005,0.919190052
gene23260,69.5047577,-0.05915914,0.132117933,-0.447775249,0.654315408,0.919190052
gene23623,146.5751379,0.05019979,0.112269722,0.447135607,0.654777151,0.919190052
gene34308,65.17633342,-0.058407365,0.130729187,-0.446781369,0.655032925,0.919190052
gene15755,86.93709502,-0.054739009,0.122554853,-0.446649053,0.655128472,0.919190052
gene19863,99.50524251,-0.054377227,0.121950452,-0.445896067,0.655672323,0.919190052
gene11239,79.80199754,-0.059181968,0.132765941,-0.445761672,0.655769411,0.919190052
gene17084,1332.771081,0.039257144,0.088190549,0.445140041,0.656218554,0.919190052
gene11344,71.10842526,-0.057392089,0.129007566,-0.444873821,0.656410942,0.919190052
gene27195,220.9288,-0.049775426,0.111923468,-0.444727334,0.656516814,0.919190052
gene39271,68.73971435,0.057701943,0.129791309,0.444574782,0.656627075,0.919190052
gene22005,119.1645332,-0.053122117,0.119490552,-0.444571689,0.656629311,0.919190052
gene276,284.6597961,-0.055550799,0.124988784,-0.444446269,0.656719968,0.919190052
gene26164,91.68989046,0.055674969,0.125297917,0.444340741,0.65679625,0.919190052
gene24994,88.72866068,0.056105016,0.126295662,0.444235501,0.656872328,0.919190052
gene28969,106.0821904,-0.057748249,0.130336307,-0.443071089,0.657714316,0.920032749
gene31850,556.2407522,-0.035863593,0.081039002,-0.442547317,0.658093198,0.920129509
gene12375,224.8397659,0.045119502,0.102008204,0.442312486,0.658263097,0.920129509
gene39234,635.8327617,-0.057266153,0.129765206,-0.441305912,0.658991547,0.92025496
gene19093,131.2184591,0.055126635,0.124999229,0.441015803,0.659201556,0.92025496
gene2109,109.0645232,0.054460298,0.123534906,0.440849469,0.659321977,0.92025496
gene37803,469.4553569,0.052404442,0.118994945,0.440392168,0.659653097,0.92025496
gene34814,76.56155148,0.056335216,0.128174666,0.439519116,0.660285434,0.92025496
gene38391,83.71873858,-0.057065474,0.129867449,-0.439413216,0.660362152,0.92025496
gene3187,85.86207528,0.05329916,0.121346214,0.43923216,0.660493325,0.92025496
gene30337,336.5218702,0.050634814,0.115284226,0.439217191,0.66050417,0.92025496
gene27189,552.791861,-0.041730745,0.095013792,-0.439207241,0.660511379,0.92025496
gene25347,87.10456743,-0.057674036,0.131667371,-0.438028309,0.661365762,0.920788699
gene16922,293.3021597,0.041655255,0.095156169,0.437756744,0.661562631,0.920788699
gene1022,72.11133372,-0.057120326,0.130585385,-0.437417451,0.66180863,0.920788699
gene14816,152.1715619,0.047454751,0.10850412,0.437354366,0.661854374,0.920788699
gene20082,161.994753,-0.047329464,0.108596984,-0.43582669,0.662962478,0.921359017
gene16848,274.2650193,0.044042722,0.101062564,0.435796599,0.662984311,0.921359017
gene33176,2868.838649,0.039244942,0.090053452,0.435796081,0.662984688,0.921359017
gene27918,114.6395996,0.054757965,0.126081787,0.434305113,0.664066891,0.921903323
gene3931,85.63370118,0.053577061,0.123449041,0.43400144,0.664287396,0.921903323
gene26756,141.4151186,0.047034679,0.108387668,0.433948625,0.664325749,0.921903323
gene12051,79.59100366,0.05761291,0.132769274,0.43393255,0.664337422,0.921903323
gene11827,299.1606123,-0.042442465,0.097942343,-0.433341327,0.664766818,0.922165684
gene24923,141.1920305,0.053217772,0.123072672,0.432409335,0.665443935,0.922523266
gene22544,106.1337015,-0.054490361,0.126209776,-0.431744378,0.66592721,0.922523266
gene15745,333.5938698,-0.042620284,0.098869993,-0.431074003,0.666414563,0.922523266
gene13340,79.53388864,0.057014112,0.132391019,0.430649394,0.66672332,0.922523266
gene31508,170.4126187,-0.053562395,0.124466177,-0.430336946,0.666950555,0.922523266
gene27819,137.2089007,0.048163997,0.111924096,0.430327326,0.666957552,0.922523266
gene26628,281.4199042,-0.032542753,0.075745069,-0.429635268,0.667460978,0.922523266
gene11577,116.9707524,0.053385304,0.124343685,0.429336675,0.66767823,0.922523266
gene27974,66.97888587,0.05663033,0.131903949,0.429330055,0.667683047,0.922523266
gene35134,81.06239536,0.055360442,0.129075366,0.428900134,0.667995903,0.922523266
gene26426,74.91343049,-0.056813056,0.132543358,-0.428637517,0.668187038,0.922523266
gene22618,93.62464168,-0.049874997,0.116604306,-0.4277286,0.668848725,0.922523266
gene14664,67.4196285,-0.056442907,0.13198092,-0.427659594,0.668898971,0.922523266
gene26828,473.4494118,-0.046849612,0.109574211,-0.427560569,0.668971079,0.922523266
gene38461,1212.689905,0.041890068,0.097986154,0.427510078,0.669007846,0.922523266
gene17645,101.1358312,0.049760187,0.116509302,0.427091964,0.669312345,0.922523266
gene16911,240.9505921,0.045114902,0.10571439,0.426762161,0.66955257,0.922523266
gene33318,220.2897432,-0.05254789,0.123142249,-0.426725111,0.669579559,0.922523266
gene39567,109.9513447,0.056484547,0.132511627,0.426261064,0.669917626,0.922523266
gene38353,129.7780575,-0.05138137,0.120593313,-0.426071464,0.670055773,0.922523266
gene27165,184.4802115,0.047520554,0.111552774,0.425991683,0.670113907,0.922523266
gene27780,107.0247705,0.05624436,0.132116756,0.425717083,0.670314012,0.922523266
gene19118,113.4269231,0.053995576,0.126969575,0.425263897,0.670644309,0.922527215
gene29727,74.68929129,0.052696605,0.123976432,0.425053409,0.670797741,0.922527215
gene23705,82.95364405,-0.055966174,0.132108221,-0.423638846,0.671829221,0.923064983
gene20171,229.6904296,0.039872927,0.094134957,0.423571947,0.671878018,0.923064983
gene14941,67.95814921,0.054047815,0.127613488,0.423527449,0.671910476,0.923064983
gene25889,507.1012102,0.036452087,0.086294079,0.422417008,0.672720666,0.923464822
gene2502,509.292078,-0.036274724,0.08599075,-0.421844487,0.673138532,0.923464822
gene14896,402.643671,0.0326834,0.077480637,0.42182668,0.67315153,0.923464822
gene2904,1587.347697,0.032548264,0.077163458,0.421809297,0.673164219,0.923464822
gene13760,83.86427483,-0.05313714,0.126523303,-0.41997908,0.674500736,0.924967593
gene21042,165.9872696,-0.045797635,0.109393217,-0.41865151,0.675470839,0.925966991
gene12346,79.81321294,0.051033116,0.122002569,0.418295425,0.675731134,0.925992987
gene18068,83.37337238,0.053312033,0.127590685,0.417836407,0.67606673,0.926122115
gene31556,714.7188322,-0.039181941,0.093936583,-0.41711056,0.676597542,0.926514803
gene26162,77.58649475,0.052225522,0.125535368,0.41602237,0.677393634,0.926514803
gene32042,72.55924049,0.050508943,0.121432272,0.415943329,0.677451472,0.926514803
gene16675,200.1176605,-0.043227777,0.103929967,-0.415931784,0.677459921,0.926514803
gene25701,1203.960201,0.039456067,0.094962681,0.415490242,0.677783057,0.926514803
gene40358,116.2510742,0.048428115,0.116563902,0.415464083,0.677802203,0.926514803
gene32002,167.7967059,-0.048559236,0.117197539,-0.414336656,0.678627572,0.926929408
gene31728,749.052069,-0.033627748,0.081184428,-0.414214255,0.678717203,0.926929408
gene14515,467.4455302,-0.036385309,0.087971097,-0.413605266,0.679163216,0.926929408
gene40173,158.0406048,0.054899177,0.132743132,0.413574519,0.679185737,0.926929408
gene31308,462.4333736,0.04357064,0.105439114,0.413230334,0.679437866,0.926929408
gene3663,104.3511022,0.048171738,0.116618688,0.413070487,0.679554972,0.926929408
gene29117,367.0783269,-0.033871477,0.082165091,-0.412236832,0.680165843,0.927149315
gene10056,633.7722165,-0.029797566,0.072330581,-0.411963597,0.680366105,0.927149315
gene2403,262.6412732,0.043095293,0.104635453,0.411861294,0.680441092,0.927149315
gene25881,78.4127581,0.051607842,0.125576723,0.410966625,0.681097008,0.927519288
gene40827,166.1969201,-0.050621266,0.123216606,-0.410831521,0.681196079,0.927519288
gene14274,293.9843502,-0.053553443,0.130518114,-0.410314259,0.681575434,0.927522065
gene11610,559.4840388,0.033566604,0.081913479,0.409781201,0.681966458,0.927522065
gene40890,68.49716858,-0.053588891,0.130933493,-0.409283293,0.682331775,0.927522065
gene28733,200.0637788,0.048695879,0.119091051,0.408896209,0.682615831,0.927522065
gene39778,95.57989902,0.053702295,0.131339212,0.408882424,0.682625948,0.927522065
gene16152,184.6619771,-0.046635814,0.114255936,-0.408169724,0.683149074,0.927522065
gene18059,87.79149482,0.050700045,0.124258899,0.408019428,0.683259411,0.927522065
gene2691,91.03462928,0.051865467,0.127310786,0.407392563,0.683719688,0.927522065
gene23881,164.829107,0.051010161,0.125301688,0.407098757,0.683935456,0.927522065
gene19209,1200.746461,0.031391925,0.077142744,0.406932958,0.684057229,0.927522065
gene3995,373.2448995,0.041146765,0.101177456,0.406679182,0.684243632,0.927522065
gene1878,183.215809,0.045678019,0.112330357,0.40664002,0.684272399,0.927522065
gene3843,71.22295657,0.053002778,0.130430838,0.406366917,0.684473024,0.927522065
gene30142,149.4530293,-0.053062628,0.130724609,-0.405911547,0.684807594,0.927522065
gene2512,245.6647131,-0.050170612,0.123606698,-0.405889105,0.684824084,0.927522065
gene14690,287.7385557,-0.036744874,0.09069652,-0.405140951,0.685373907,0.927653681
gene11317,93.46212067,0.048405645,0.119507476,0.40504282,0.685446036,0.927653681
gene12147,195.1445618,0.04964246,0.122661215,0.404711956,0.685689253,0.927653681
gene26479,87.34371417,0.052026318,0.128637537,0.404441181,0.685888322,0.927653681
gene34409,130.6871573,-0.051377418,0.127414667,-0.403230011,0.686779024,0.928531048
gene29881,94.99776106,-0.049510554,0.123017213,-0.402468507,0.687339261,0.928742285
gene26410,99.54759331,-0.048389766,0.120470432,-0.401673387,0.687924412,0.928742285
gene1391,119.1543654,-0.049340558,0.122844646,-0.401650047,0.687941592,0.928742285
gene25205,87.48190961,-0.049104914,0.122393479,-0.401205311,0.688268971,0.928742285
gene34518,72.49126833,-0.052932924,0.131964074,-0.401116167,0.688334599,0.928742285
gene1503,65.95695668,0.051083318,0.127375771,0.401044233,0.688387558,0.928742285
gene37956,89.56476933,-0.052258094,0.130502057,-0.400438852,0.688833313,0.928827921
gene33931,233.4707214,-0.040593418,0.101407355,-0.400300535,0.688935174,0.928827921
gene21825,272.089262,-0.036759611,0.092074542,-0.399237506,0.68971821,0.92897927
gene39462,191.6767313,-0.044745388,0.112212326,-0.398756438,0.690072678,0.92897927
gene32933,80.55509349,-0.051282271,0.128632022,-0.39867422,0.690133265,0.92897927
gene15368,146.4157263,-0.043836336,0.10998381,-0.398570808,0.690209475,0.92897927
gene33275,482.1586549,-0.034382085,0.086359386,-0.398127945,0.690535876,0.92897927
gene39747,278.268479,-0.044043836,0.110697862,-0.397874313,0.690722836,0.92897927
gene21769,67.63321093,-0.052714686,0.132499551,-0.397848032,0.690742209,0.92897927
gene3848,479.2937475,-0.041769799,0.105157882,-0.397210346,0.691212354,0.929285845
gene30424,163.7246,-0.051407485,0.12979156,-0.396077255,0.692048037,0.930005519
gene21139,275.485465,0.041612289,0.105140704,0.395777157,0.69226943,0.930005519
gene39055,114.905815,0.05229466,0.132224565,0.395498823,0.69247479,0.930005519
gene34134,206.1219149,-0.047516738,0.120313879,-0.394939791,0.692887323,0.93023396
gene17788,233.5063816,0.04443647,0.112702023,0.394282804,0.693372257,0.930237059
gene28006,83.94274464,0.052195566,0.1326687,0.393427889,0.694003475,0.930237059
gene35064,856.1270929,-0.039649904,0.100808276,-0.393319933,0.694083197,0.930237059
gene23478,157.1541592,0.043449925,0.110488762,0.393251987,0.694133376,0.930237059
gene29718,148.9293546,0.048186419,0.122951054,0.391915465,0.695120676,0.930237059
gene37367,340.3989113,-0.037845785,0.096673558,-0.391480208,0.695442315,0.930237059
gene25990,108.4807409,0.049731422,0.127093937,0.391296571,0.695578034,0.930237059
gene35276,97.2853279,-0.0501168,0.128132764,-0.391131808,0.695699811,0.930237059
gene21337,399.185422,-0.046040322,0.1177172,-0.391109559,0.695716255,0.930237059
gene32419,170.0842769,0.043685896,0.111702687,0.391090827,0.695730101,0.930237059
gene1371,130.3300824,-0.044931265,0.115045755,-0.390551261,0.696128958,0.930237059
gene26962,173.8157582,-0.041466379,0.106225898,-0.39036035,0.696270103,0.930237059
gene12863,82.5123845,0.048828867,0.125104926,0.390303309,0.696312276,0.930237059
gene20801,431.2721875,0.035101853,0.089960425,0.390192169,0.696394452,0.930237059
gene39002,226.4552201,0.037530849,0.096335237,0.389585885,0.696842791,0.930237059
gene17836,316.7293587,-0.038691508,0.09937012,-0.389367627,0.697004216,0.930237059
gene20114,292.8069327,0.038384144,0.098786767,0.388555521,0.697604975,0.930237059
gene18788,76.0891669,-0.04996378,0.128596915,-0.388530158,0.697623741,0.930237059
gene10900,458.7736214,-0.04632511,0.119357879,-0.388119412,0.697927667,0.930237059
gene15191,101.5486362,-0.050438971,0.130009901,-0.387962538,0.698043756,0.930237059
gene34520,101.5535259,-0.04776826,0.123247067,-0.387581309,0.698325903,0.930237059
gene20130,118.4558362,0.049273336,0.127563597,0.386264869,0.699300515,0.930237059
gene37800,358.6307972,-0.04079511,0.105717993,-0.385886158,0.699580982,0.930237059
gene14973,174.65619,0.043130635,0.111874357,0.385527444,0.699846678,0.930237059
