,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene1893,209.2340261,0.172799243,0.094479106,1.8289678,0.067404432,0.517261612
gene35205,448.0749859,-0.145324068,0.079552185,-1.826776567,0.067733371,0.517313865
gene14773,825.956658,0.149968183,0.08210994,1.826431527,0.067785287,0.517313865
gene165,298.046583,-0.213851631,0.11710009,-1.826229439,0.067815709,0.517313865
gene24561,128.0165004,-0.221630151,0.121840472,-1.819019145,0.068908509,0.524607044
gene41476,832.2013166,0.13509395,0.074498773,1.813371476,0.069774546,0.527699413
gene39485,119.6558035,-0.204446426,0.11279496,-1.812549302,0.069901363,0.527699413
gene38891,578.3395734,-0.144159812,0.079579658,-1.811515839,0.070061039,0.527699413
gene1397,86.681076,0.230919422,0.127494742,1.81120741,0.070108752,0.527699413
gene23564,95.98689639,0.240406855,0.132761848,1.810812802,0.070169834,0.527699413
gene24761,729.900028,0.152322012,0.084128894,1.810579032,0.07020604,0.527699413
gene25207,562.9894457,-0.167322655,0.092548351,-1.807948524,0.070614513,0.527699413
gene33192,145.629842,0.205524651,0.113678664,1.807943938,0.070615226,0.527699413
gene1850,81.30630919,0.213300297,0.118037565,1.807054363,0.070753803,0.527699413
gene20401,75.4049419,0.239193382,0.132494985,1.805301408,0.071027529,0.527699413
gene18061,458.6833085,0.186605882,0.103399503,1.804707726,0.07112043,0.527699413
gene20392,388.5772344,0.201830695,0.111850129,1.804474406,0.071156968,0.527699413
gene1084,1375.097879,-0.127597155,0.070774347,-1.802872935,0.071408172,0.527699413
gene38143,218.9801883,-0.195708702,0.108649583,-1.801283501,0.071658207,0.527699413
gene19836,170.9484799,0.181616995,0.100889724,1.800153553,0.071836396,0.527699413
gene12328,76.73663386,0.222561747,0.123656254,1.799842221,0.071885555,0.527699413
gene10133,68.25193064,0.237671715,0.132163147,1.79832064,0.072126211,0.527699413
gene39588,219.5435622,0.167990179,0.093459839,1.79745846,0.072262867,0.527699413
gene1394,137.3906739,0.199800372,0.111159419,1.797421881,0.07226867,0.527699413
gene18244,430.3946887,0.144607196,0.080491294,1.796556978,0.07240598,0.527699413
gene18800,383.4084289,-0.217899824,0.121365638,-1.795399643,0.072590049,0.527699413
gene25029,114.2088871,0.227714409,0.126877261,1.794761389,0.072691725,0.527699413
gene14193,78.21075439,0.212859184,0.11866767,1.793742011,0.072854357,0.527699413
gene20206,76.05444372,-0.231596258,0.129160705,-1.793086051,0.072959166,0.527699413
gene34148,504.764923,0.171295992,0.095564686,1.792461203,0.073059118,0.527699413
gene31722,548.7806461,0.188722698,0.105311,1.792051142,0.073124774,0.527699413
gene16948,150.732417,0.216566602,0.120865336,1.79180077,0.073164885,0.527699413
gene12350,232.6214633,0.186067434,0.103844047,1.791796831,0.073165517,0.527699413
gene15379,92.95217133,0.233587206,0.130635917,1.78807797,0.073763429,0.529987417
gene25530,293.8623069,0.176857016,0.098943057,1.78746263,0.073862747,0.529987417
gene41133,198.6377916,0.201054322,0.112522019,1.786799806,0.073969851,0.529987417
gene14381,858.4716887,0.158848735,0.088921372,1.786395459,0.07403525,0.529987417
gene1614,825.3262065,-0.137903207,0.077241065,-1.785361278,0.074202735,0.530197198
gene24200,94.59478905,0.219488348,0.123047907,1.783763354,0.074462127,0.531061673
gene30094,66.79492259,0.231411195,0.129826478,1.782465321,0.074673382,0.531580269
gene27687,1012.918758,0.235270241,0.132175785,1.779979908,0.075079249,0.533479774
gene30535,70.22430962,0.235473411,0.132508055,1.777049787,0.075560049,0.534931115
