"gene"	"cor.ntop20"	"cor.mean"	"cor.sd"	"cor.median"	"cor.mean.sd.ratio"	"auc.gene"	"auc.ci95.min"	"auc.ci95.max"
"AKAP12"	0	0.130859616573902	0.0662800940666986	0.129323308270677	1.97434265018116	0.691666666666667	0.444704797532765	0.938628535800568
"AKR1C3"	0	0.0566481137909709	0.0702507804047439	0.0571428571428571	0.806369886065289	0.6	0.352308165880162	0.847691834119838
"AKR1E2"	0	-0.0507111935683364	0.07641613902979	-0.0706766917293233	-0.663618892712798	0.45	0.184518103129441	0.715481896870559
"ALAS2"	0	0.00643166357452072	0.0829555690917664	-0.00300751879699248	0.0775314260987823	0.475	0.218405979025395	0.731594020974605
"ALDH1A1"	0	0.0315398886827458	0.0818072180577705	0.0285714285714286	0.38553919118082	0.508333333333333	0.250858696199231	0.765807970467436
"ALDH2"	0	0.0547928262213977	0.0810674615952706	0.0406015037593985	0.675891722069095	0.691666666666667	0.453276938978111	0.930056394355222
"ALS2CR11"	0	0.0617192331478046	0.074797519515427	0.0706766917293233	0.825150801091406	0.541666666666667	0.287987621316414	0.795345712016919
"ANK3"	0	0.1139146567718	0.0746415539025825	0.117293233082707	1.52615601921249	0.358333333333333	0.106487930939326	0.610178735727341
"ANKRD55"	0	0.0962275819418677	0.0723193867366484	0.0947368421052632	1.33059178574455	0.416666666666667	0.154185815022183	0.679147518311151
"ANPEP"	9.52380952380952	0.299443413729128	0.0712419995116148	0.290225563909774	4.20318654420008	0.5	0.241220469769192	0.758779530230808
"ANXA3"	0	-0.0231292517006803	0.0740811954500798	-0.0300751879699248	-0.312214882064992	0.533333333333333	0.277612423581144	0.789054243085522
"AOAH"	0	0.0750773036487322	0.0793884995810529	0.0646616541353384	0.945694956384468	0.525	0.255938999437773	0.794061000562227
"AP3S2"	0	0.131972789115646	0.0744211901414025	0.144360902255639	1.77332274403156	0.65	0.403595225382175	0.896404774617825
"APBA2"	0	0.174644403215832	0.0842477365542714	0.180451127819549	2.07298629445466	0.533333333333333	0.268603597718878	0.798063068947789
"APBB2"	0	-0.26456400742115	0.0706055734759468	-0.261654135338346	-3.74706973396766	0.341666666666667	0.10093730268713	0.582396030646203
"APOBEC3A"	0.865800865800866	0.269140383426098	0.0623684603067331	0.263157894736842	4.31532832624765	0.716666666666667	0.483014954303415	0.950318379029919
"APOBEC3H"	0	-0.194063079777365	0.0721368082497633	-0.189473684210526	-2.69020884740908	0.475	0.214135888023871	0.735864111976129
"ARHGEF10"	9.09090909090909	0.333457019171305	0.0656652495325525	0.32781954887218	5.07813526248764	0.583333333333333	0.322107934995321	0.844558731671346
"ARHGEF5"	0	-0.140878169449598	0.0783130814658144	-0.154887218045113	-1.79890979658481	0.516666666666667	0.258888705864859	0.774444627468474
"ARID5B"	0	-0.131106988249845	0.0744850434338329	-0.132330827067669	-1.76017871784302	0.533333333333333	0.274096043665788	0.792570623000878
"ARSD"	0	0.108472479901051	0.079168565094572	0.117293233082707	1.37014583719528	0.641666666666667	0.396852714009839	0.886480619323494
"AS3MT"	0	-0.0604823747680891	0.0667781768879366	-0.0631578947368421	-0.905720664845151	0.333333333333333	0.0800050626369054	0.586661604029762
"ASGR2"	0	-0.388373531230674	0.0573725497777902	-0.392481203007519	-6.76932666815201	0.466666666666667	0.208241415000519	0.725091918332814
"ATHL1"	0	0.010760667903525	0.0676305428664252	-0.0075187969924812	0.159109589357845	0.558333333333333	0.300482209932465	0.816184456734202
